v_est_minus mean rank 1.8953309693288012
v_est_plus mean rank 1.8953309693288012
initialization 497.023895025
reconstruction 48 0.00976896286011
boundary 48 1.02938580513
fluxes 48 17.8208301067
rhs 48 46.896584034
update 48 2.33658099174
reconstruction 49 0.00982403755188
boundary 49 1.04007792473
fluxes 49 17.9207890034
rhs 49 48.2710449696
update 49 2.37261080742
reconstruction 50 0.00981688499451
boundary 50 1.04860305786
fluxes 50 18.2935380936
rhs 50 43.0374441147
update 50 2.319617033
reconstruction 51 0.00973296165466
boundary 51 0.928985118866
fluxes 51 17.932641983
rhs 51 48.5057320595
update 51 2.390666008
reconstruction 52 0.00983595848083
boundary 52 1.05202817917
fluxes 52 18.2614989281
rhs 52 44.9400820732
update 52 2.37670302391
reconstruction 53 0.0098249912262
boundary 53 1.04916214943
fluxes 53 18.1695730686
rhs 53 45.3697519302
update 53 2.3922598362
reconstruction 54 0.00977206230164
boundary 54 0.948534965515
fluxes 54 18.4619729519
rhs 54 48.7424368858
update 54 2.37314391136
reconstruction 55 0.00977301597595
boundary 55 1.04845905304
fluxes 55 18.3767409325
rhs 55 45.8804779053
update 55 2.36879611015
reconstruction 56 0.00978803634644
boundary 56 0.937680959702
fluxes 56 18.0944540501
rhs 56 50.7956781387
update 56 2.37945199013
reconstruction 57 0.00978398323059
boundary 57 0.954027891159
fluxes 57 18.3413920403
rhs 57 44.9952309132
update 57 2.39161205292
reconstruction 58 0.00987386703491
boundary 58 1.084171772
fluxes 58 18.5468289852
rhs 58 46.3815028667
update 58 2.39848995209
reconstruction 59 0.00983810424805
boundary 59 1.08930301666
fluxes 59 18.6055059433
rhs 59 46.8059778214
update 59 2.41009497643
reconstruction 60 0.00979399681091
boundary 60 1.07808494568
fluxes 60 18.5687849522
rhs 60 47.2202308178
update 60 2.41336798668
reconstruction 61 0.00983285903931
boundary 61 1.07547593117
fluxes 61 18.7484369278
rhs 61 50.9992978573
update 61 2.45287203789
reconstruction 62 0.00982522964478
boundary 62 1.07535600662
fluxes 62 18.7298901081
rhs 62 47.6217260361
update 62 2.42350411415
reconstruction 63 0.00979995727539
boundary 63 1.08377099037
fluxes 63 18.7103590965
rhs 63 47.9502291679
update 63 2.43500185013
reconstruction 64 0.00980305671692
boundary 64 1.08407998085
fluxes 64 18.6860768795
rhs 64 48.1666798592
update 64 2.44285392761
reconstruction 65 0.00983309745789
boundary 65 1.0830180645
fluxes 65 18.7113358974
rhs 65 58.6183149815
update 65 2.45035600662
reconstruction 66 0.00983095169067
boundary 66 1.14074707031
fluxes 66 18.7767720222
rhs 66 54.3125998974
update 66 2.47047591209
reconstruction 67 0.00986886024475
boundary 67 1.09572196007
fluxes 67 18.7337510586
rhs 67 49.3795089722
update 67 2.46488189697
reconstruction 68 0.00984406471252
boundary 68 1.09900283813
fluxes 68 18.832845211
rhs 68 49.9232780933
update 68 2.46094489098
reconstruction 69 0.00978899002075
boundary 69 1.09727692604
fluxes 69 18.9618721008
rhs 69 49.8310570717
update 69 2.46879291534
reconstruction 70 0.00983500480652
boundary 70 1.11271095276
fluxes 70 18.9504640102
rhs 70 50.0551958084
update 70 2.47421813011
reconstruction 71 0.00985598564148
boundary 71 1.11090707779
fluxes 71 18.8850190639
rhs 71 50.2476580143
update 71 2.47413802147
reconstruction 72 0.00980019569397
boundary 72 1.12297511101
fluxes 72 18.9294998646
rhs 72 50.1410210133
update 72 2.49206089973
reconstruction 73 0.00983214378357
boundary 73 1.13649106026
fluxes 73 19.0708479881
rhs 73 50.4642701149
update 73 2.48072314262
reconstruction 74 0.00985407829285
boundary 74 1.12527704239
fluxes 74 19.0440759659
rhs 74 51.0179898739
update 74 2.49090409279
reconstruction 75 0.00980091094971
boundary 75 1.18925690651
fluxes 75 19.097990036
rhs 75 51.3128020763
update 75 2.50569486618
